"Location";"Price";"Bedrooms";"Bathrooms";"SqFt";"Link";"Image";"Zip";"State";"City";"Address"
"4507 TRAILWOOD DR, San Antonio, TX 78228";315000;3;2;1619;"https://www.zillow.com/homedetails/4507-Trailwood-Dr-San-Antonio-TX-78228/26301014_zpid/";"https://photos.zillowstatic.com/fp/5659d432ec384d3999cabe0d0e0e8ce0-zillow_web_48_23.jpg";"78228";"TX";"San Antonio";"4507 TRAILWOOD DR"
"6714 COMANCHE ARROW, San Antonio, TX 78233";439900;4;3;2312;"https://www.zillow.com/homedetails/6714-Comanche-Arrow-San-Antonio-TX-78233/333532973_zpid/";"https://photos.zillowstatic.com/fp/5659d432ec384d3999cabe0d0e0e8ce0-zillow_web_48_23.jpg";"78233";"TX";"San Antonio";"6714 COMANCHE ARROW"
"8403 maple ridge, San Antonio, TX 78239";289873;3;3;1496;"https://www.zillow.com/homedetails/8403-Maple-Ridge-Dr-San-Antonio-TX-78239/26181122_zpid/";"https://photos.zillowstatic.com/fp/5659d432ec384d3999cabe0d0e0e8ce0-zillow_web_48_23.jpg";"78239";"TX";"San Antonio";"8403 maple ridge"
"130 IDELL AVE, San Antonio, TX 78223";275000;5;2;1560;"https://www.zillow.com/homedetails/130-Idell-Ave-San-Antonio-TX-78223/26296882_zpid/";"https://photos.zillowstatic.com/fp/5659d432ec384d3999cabe0d0e0e8ce0-zillow_web_48_23.jpg";"78223";"TX";"San Antonio";"130 IDELL AVE"
"10619 CEDAR ELM, San Antonio, TX 78230";325000;3;2;2346;"https://www.zillow.com/homedetails/10619-Cedar-Elm-Dr-San-Antonio-TX-78230/26315308_zpid/";"https://photos.zillowstatic.com/fp/5659d432ec384d3999cabe0d0e0e8ce0-zillow_web_48_23.jpg";"78230";"TX";"San Antonio";"10619 CEDAR ELM"
"11954 HOLM OAKS DR, San Antonio, TX 78249";335000;4;2;2160;"https://www.zillow.com/homedetails/11954-Holm-Oaks-Dr-San-Antonio-TX-78249/26387089_zpid/";"https://photos.zillowstatic.com/fp/5659d432ec384d3999cabe0d0e0e8ce0-zillow_web_48_23.jpg";"78249";"TX";"San Antonio";"11954 HOLM OAKS DR"
"5722 PALMETTO WAY, San Antonio, TX 78253";365000;4;4;3296;"https://www.zillow.com/homedetails/5722-Palmetto-Way-San-Antonio-TX-78253/80022575_zpid/";"https://photos.zillowstatic.com/fp/5659d432ec384d3999cabe0d0e0e8ce0-zillow_web_48_23.jpg";"78253";"TX";"San Antonio";"5722 PALMETTO WAY"
"7719 ORLAND PARK, San Antonio, TX 78213";275000;4;4;2340;"https://www.zillow.com/homedetails/7719-Orland-Park-San-Antonio-TX-78213/169142102_zpid/";"https://photos.zillowstatic.com/fp/5659d432ec384d3999cabe0d0e0e8ce0-zillow_web_48_23.jpg";"78213";"TX";"San Antonio";"7719 ORLAND PARK"
"2818 TORTUGA VERDE, San Antonio, TX 78245";550000;4;4;3504;"https://www.zillow.com/homedetails/2818-Tortuga-Verde-San-Antonio-TX-78245/102512520_zpid/";"https://photos.zillowstatic.com/fp/5659d432ec384d3999cabe0d0e0e8ce0-zillow_web_48_23.jpg";"78245";"TX";"San Antonio";"2818 TORTUGA VERDE"
"8606 OAK TIMBER ST, San Antonio, TX 78251";325000;4;2;1910;"https://www.zillow.com/homedetails/8606-Oak-Timber-St-San-Antonio-TX-78251/26457987_zpid/";"https://photos.zillowstatic.com/fp/5659d432ec384d3999cabe0d0e0e8ce0-zillow_web_48_23.jpg";"78251";"TX";"San Antonio";"8606 OAK TIMBER ST"
"18707 Rogers Pass, San Antonio, TX 78258";520000;3;3;2600;"https://www.zillow.com/homedetails/18707-Rogers-Pass-San-Antonio-TX-78258/55096320_zpid/";"https://photos.zillowstatic.com/fp/5659d432ec384d3999cabe0d0e0e8ce0-zillow_web_48_23.jpg";"78258";"TX";"San Antonio";"18707 Rogers Pass"
"5419 Pearl Vly, San Antonio, TX 78242";190000;3;3;2049;"https://www.zillow.com/homedetails/5419-Pearl-Vly-San-Antonio-TX-78242/2082658738_zpid/";"https://photos.zillowstatic.com/fp/269721c84e26aa62a0c4e0f63235de0f-p_e.jpg";"78242";"TX";"San Antonio";"5419 Pearl Vly"
"7711 Dusty Diamond, San Antonio, TX 78249";324900;3;3;2134;"https://www.zillow.com/homedetails/7711-Dusty-Diamond-San-Antonio-TX-78249/69665288_zpid/";"https://photos.zillowstatic.com/fp/5659d432ec384d3999cabe0d0e0e8ce0-zillow_web_48_23.jpg";"78249";"TX";"San Antonio";"7711 Dusty Diamond"
"12131 DAWES PT, San Antonio, TX 78254";269900;3;2;1585;"https://www.zillow.com/homedetails/12131-Dawes-Point-San-Antonio-TX-78254/370938362_zpid/";"https://photos.zillowstatic.com/fp/5659d432ec384d3999cabe0d0e0e8ce0-zillow_web_48_23.jpg";"78254";"TX";"San Antonio";"12131 DAWES PT"
"8106 SETTING MOON, San Antonio, TX 78255";515000;5;3;3156;"https://www.zillow.com/homedetails/8106-Setting-Moon-San-Antonio-TX-78255/69658982_zpid/";"https://photos.zillowstatic.com/fp/5659d432ec384d3999cabe0d0e0e8ce0-zillow_web_48_23.jpg";"78255";"TX";"San Antonio";"8106 SETTING MOON"
"139 HERMITAGE CT, San Antonio, TX 78223";148900;3;1;1150;"https://www.zillow.com/homedetails/139-Hermitage-Ct-San-Antonio-TX-78223/26229643_zpid/";"https://photos.zillowstatic.com/fp/5659d432ec384d3999cabe0d0e0e8ce0-zillow_web_48_23.jpg";"78223";"TX";"San Antonio";"139 HERMITAGE CT"
"5603 ESPADA CLF, San Antonio, TX 78222";270000;3;2;1637;"https://www.zillow.com/homedetails/5603-Espada-Clf-San-Antonio-TX-78222/122500655_zpid/";"https://photos.zillowstatic.com/fp/5659d432ec384d3999cabe0d0e0e8ce0-zillow_web_48_23.jpg";"78222";"TX";"San Antonio";"5603 ESPADA CLF"
"6526 Quiet Forest, San Antonio, TX 78239";259000;4;2;1704;"https://www.zillow.com/homedetails/6526-Quiet-Frst-San-Antonio-TX-78239/26177943_zpid/";"https://photos.zillowstatic.com/fp/5659d432ec384d3999cabe0d0e0e8ce0-zillow_web_48_23.jpg";"78239";"TX";"San Antonio";"6526 Quiet Forest"
"14707 SWALE, San Antonio, TX 78248";525000;4;3;3196;"https://www.zillow.com/homedetails/14707-Swale-San-Antonio-TX-78248/26395818_zpid/";"https://photos.zillowstatic.com/fp/5659d432ec384d3999cabe0d0e0e8ce0-zillow_web_48_23.jpg";"78248";"TX";"San Antonio";"14707 SWALE"
"111 ADAES AVE, San Antonio, TX 78207";89000;2;1;792;"https://www.zillow.com/homedetails/111-Adaes-Ave-San-Antonio-TX-78207/26139708_zpid/";"https://photos.zillowstatic.com/fp/5659d432ec384d3999cabe0d0e0e8ce0-zillow_web_48_23.jpg";"78207";"TX";"San Antonio";"111 ADAES AVE"
"6611 Southpoint St. UNIT C-114, San Antonio, TX 78229";95500;1;1;775;"https://www.zillow.com/homedetails/6611-Southpoint-St-C-114-San-Antonio-TX-78229/2055786913_zpid/";"https://photos.zillowstatic.com/fp/5659d432ec384d3999cabe0d0e0e8ce0-zillow_web_48_23.jpg";"78229";"TX";"San Antonio";"6611 Southpoint St. UNIT C-114"
"11411 Black Fox Dr, San Antonio, TX 78245";262500;3;2;1652;"https://www.zillow.com/homedetails/11411-Black-Fox-Dr-San-Antonio-TX-78245/26196213_zpid/";"https://photos.zillowstatic.com/fp/5659d432ec384d3999cabe0d0e0e8ce0-zillow_web_48_23.jpg";"78245";"TX";"San Antonio";"11411 Black Fox Dr"
"15622 Robin Feather, San Antonio, TX 78256";355000;4;3;2322;"https://www.zillow.com/homedetails/15622-Robin-Feather-San-Antonio-TX-78255/69640343_zpid/";"https://photos.zillowstatic.com/fp/5659d432ec384d3999cabe0d0e0e8ce0-zillow_web_48_23.jpg";"78256";"TX";"San Antonio";"15622 Robin Feather"
"1901 Ridge Park, San Antonio, TX 78232";270000;3;2;1733;"https://www.zillow.com/homedetails/1901-Ridge-Park-San-Antonio-TX-78232/351442375_zpid/";"https://photos.zillowstatic.com/fp/5659d432ec384d3999cabe0d0e0e8ce0-zillow_web_48_23.jpg";"78232";"TX";"San Antonio";"1901 Ridge Park"
"8514 QUEEN HTS, San Antonio, TX 78254";535000;5;4;3417;"https://www.zillow.com/homedetails/8514-Queen-Hts-San-Antonio-TX-78254/26423294_zpid/";"https://photos.zillowstatic.com/fp/5659d432ec384d3999cabe0d0e0e8ce0-zillow_web_48_23.jpg";"78254";"TX";"San Antonio";"8514 QUEEN HTS"
"8323 STARCREST DR, San Antonio, TX 78218";365000;4;3;2177;"https://www.zillow.com/homedetails/8323-Starcrest-Dr-San-Antonio-TX-78218/26318337_zpid/";"https://photos.zillowstatic.com/fp/5659d432ec384d3999cabe0d0e0e8ce0-zillow_web_48_23.jpg";"78218";"TX";"San Antonio";"8323 STARCREST DR"
"830 CANTON, San Antonio, TX 78202";145000;2;1;648;"https://www.zillow.com/homedetails/830-Canton-San-Antonio-TX-78202/26215803_zpid/";"https://photos.zillowstatic.com/fp/5659d432ec384d3999cabe0d0e0e8ce0-zillow_web_48_23.jpg";"78202";"TX";"San Antonio";"830 CANTON"
"9539 CELINE DR, San Antonio, TX 78250";200000;3;2;1340;"https://www.zillow.com/homedetails/9539-Celine-Dr-San-Antonio-TX-78250/26454143_zpid/";"https://photos.zillowstatic.com/fp/5659d432ec384d3999cabe0d0e0e8ce0-zillow_web_48_23.jpg";"78250";"TX";"San Antonio";"9539 CELINE DR"
"14915 COSTA LEON, San Antonio, TX 78245";319900;3;2;2024;"https://www.zillow.com/homedetails/14915-Costa-Leon-San-Antonio-TX-78245/333531854_zpid/";"https://photos.zillowstatic.com/fp/5659d432ec384d3999cabe0d0e0e8ce0-zillow_web_48_23.jpg";"78245";"TX";"San Antonio";"14915 COSTA LEON"
"2006 BLACKJACK VW, San Antonio, TX 78264";240000;3;3;2128;"https://www.zillow.com/homedetails/2006-Blackjack-Vw-San-Antonio-TX-78264/69632708_zpid/";"https://photos.zillowstatic.com/fp/5659d432ec384d3999cabe0d0e0e8ce0-zillow_web_48_23.jpg";"78264";"TX";"San Antonio";"2006 BLACKJACK VW"
"1325 DUPONT, San Antonio, TX 78264";190000;3;2;2496;"https://www.zillow.com/homedetails/1325-Dupont-San-Antonio-TX-78264/26149911_zpid/";"https://photos.zillowstatic.com/fp/5659d432ec384d3999cabe0d0e0e8ce0-zillow_web_48_23.jpg";"78264";"TX";"San Antonio";"1325 DUPONT"
"2 ADMIRALS WAY, San Antonio, TX 78257";5995000;7;1;11932;"https://www.zillow.com/homedetails/2-Admirals-Way-San-Antonio-TX-78257/26477125_zpid/";"https://photos.zillowstatic.com/fp/5659d432ec384d3999cabe0d0e0e8ce0-zillow_web_48_23.jpg";"78257";"TX";"San Antonio";"2 ADMIRALS WAY"
"8214 TWO FALLS, San Antonio, TX 78255";439900;3;2;1914;"https://www.zillow.com/homedetails/8214-2nd-Fls-San-Antonio-TX-78255/122498125_zpid/";"https://photos.zillowstatic.com/fp/5659d432ec384d3999cabe0d0e0e8ce0-zillow_web_48_23.jpg";"78255";"TX";"San Antonio";"8214 TWO FALLS"
"4523 STRADFORD PL, San Antonio, TX 78217";345000;4;3;2300;"https://www.zillow.com/homedetails/4523-Stradford-Pl-San-Antonio-TX-78217/26378841_zpid/";"https://photos.zillowstatic.com/fp/5659d432ec384d3999cabe0d0e0e8ce0-zillow_web_48_23.jpg";"78217";"TX";"San Antonio";"4523 STRADFORD PL"
"621 CORDELIA ST, San Antonio, TX 78237";149900;2;1;668;"https://www.zillow.com/homedetails/621-Cordelia-St-San-Antonio-TX-78237/26238712_zpid/";"https://photos.zillowstatic.com/fp/5659d432ec384d3999cabe0d0e0e8ce0-zillow_web_48_23.jpg";"78237";"TX";"San Antonio";"621 CORDELIA ST"
"14043 PIKESDALE, San Antonio, TX 78253";365000;4;2;2063;"https://www.zillow.com/homedetails/14043-Pikesdale-San-Antonio-TX-78253/125221889_zpid/";"https://photos.zillowstatic.com/fp/5659d432ec384d3999cabe0d0e0e8ce0-zillow_web_48_23.jpg";"78253";"TX";"San Antonio";"14043 PIKESDALE"
"8523 QUAIL RDG, San Antonio, TX 78263";530000;4;3;3335;"https://www.zillow.com/homedetails/8523-Quail-Rdg-San-Antonio-TX-78263/65087844_zpid/";"https://photos.zillowstatic.com/fp/5659d432ec384d3999cabe0d0e0e8ce0-zillow_web_48_23.jpg";"78263";"TX";"San Antonio";"8523 QUAIL RDG"
"13603 Earlywood St, San Antonio, TX 78233";310000;4;2;1893;"https://www.zillow.com/homedetails/13603-Earlywood-St-San-Antonio-TX-78233/26380919_zpid/";"https://photos.zillowstatic.com/fp/5659d432ec384d3999cabe0d0e0e8ce0-zillow_web_48_23.jpg";"78233";"TX";"San Antonio";"13603 Earlywood St"
"418 W VESTAL PL, San Antonio, TX 78221";150000;6;3;1800;"https://www.zillow.com/homedetails/418-W-Vestal-Pl-San-Antonio-TX-78221/26258648_zpid/";"https://photos.zillowstatic.com/fp/5659d432ec384d3999cabe0d0e0e8ce0-zillow_web_48_23.jpg";"78221";"TX";"San Antonio";"418 W VESTAL PL"
"603 HEAVENLY SKY, San Antonio, TX 78260";660000;4;4;2881;"https://www.zillow.com/homedetails/603-Heavenly-Sky-San-Antonio-TX-78260/26166795_zpid/";"https://photos.zillowstatic.com/fp/5659d432ec384d3999cabe0d0e0e8ce0-zillow_web_48_23.jpg";"78260";"TX";"San Antonio";"603 HEAVENLY SKY"
"119 MCNEEL RD, San Antonio, TX 78228";165000;3;2;1573;"https://www.zillow.com/homedetails/119-McNeel-Rd-San-Antonio-TX-78228/26237589_zpid/";"https://photos.zillowstatic.com/fp/5659d432ec384d3999cabe0d0e0e8ce0-zillow_web_48_23.jpg";"78228";"TX";"San Antonio";"119 MCNEEL RD"
"9804 Carome Mill Drive, San Antonio, TX 78254";239999;4;2;1627;"https://www.zillow.com/homedetails/9804-Carome-Mill-Dr-San-Antonio-TX-78254/370655968_zpid/";"https://photos.zillowstatic.com/fp/5659d432ec384d3999cabe0d0e0e8ce0-zillow_web_48_23.jpg";"78254";"TX";"San Antonio";"9804 Carome Mill Drive"
"8298 ASSUMPTION DR, San Antonio, TX 78254";340000;3;3;2096;"https://www.zillow.com/homedetails/8298-Assumption-Dr-San-Antonio-TX-78254/336775813_zpid/";"https://photos.zillowstatic.com/fp/5659d432ec384d3999cabe0d0e0e8ce0-zillow_web_48_23.jpg";"78254";"TX";"San Antonio";"8298 ASSUMPTION DR"
"5058 SIERRA MADRE, San Antonio, TX 78233";299000;3;2;1908;"https://www.zillow.com/homedetails/5058-Sierra-Madre-Dr-San-Antonio-TX-78233/26335547_zpid/";"https://photos.zillowstatic.com/fp/5659d432ec384d3999cabe0d0e0e8ce0-zillow_web_48_23.jpg";"78233";"TX";"San Antonio";"5058 SIERRA MADRE"
"9410 S ZARZAMORA ST, San Antonio, TX 78224";265000;3;2;2140;"https://www.zillow.com/homedetails/9410-S-Zarzamora-St-San-Antonio-TX-78224/26283455_zpid/";"https://photos.zillowstatic.com/fp/5659d432ec384d3999cabe0d0e0e8ce0-zillow_web_48_23.jpg";"78224";"TX";"San Antonio";"9410 S ZARZAMORA ST"
"7635 SPANISH WOOD, San Antonio, TX 78249";299900;3;2;2242;"https://www.zillow.com/homedetails/7635-Spanish-Wood-San-Antonio-TX-78249/26469725_zpid/";"https://photos.zillowstatic.com/fp/5659d432ec384d3999cabe0d0e0e8ce0-zillow_web_48_23.jpg";"78249";"TX";"San Antonio";"7635 SPANISH WOOD"
"3120 W ASHBY PL, San Antonio, TX 78228";355000;4;3;2286;"https://www.zillow.com/homedetails/3120-W-Ashby-Pl-San-Antonio-TX-78228/26240479_zpid/";"https://photos.zillowstatic.com/fp/5659d432ec384d3999cabe0d0e0e8ce0-zillow_web_48_23.jpg";"78228";"TX";"San Antonio";"3120 W ASHBY PL"
"10804 LANDS RUN ST, San Antonio, TX 78230";399000;5;5;3307;"https://www.zillow.com/homedetails/10804-Lands-Run-St-San-Antonio-TX-78230/26330635_zpid/";"https://photos.zillowstatic.com/fp/5659d432ec384d3999cabe0d0e0e8ce0-zillow_web_48_23.jpg";"78230";"TX";"San Antonio";"10804 LANDS RUN ST"
"509 W MISTLETOE AVE, San Antonio, TX 78212";479900;3;3;1961;"https://www.zillow.com/homedetails/509-W-Mistletoe-Ave-San-Antonio-TX-78212/26118811_zpid/";"https://photos.zillowstatic.com/fp/5659d432ec384d3999cabe0d0e0e8ce0-zillow_web_48_23.jpg";"78212";"TX";"San Antonio";"509 W MISTLETOE AVE"
"11846 Fading Way, San Antonio, TX 78073";214999;4;2;1627;"https://www.zillow.com/homedetails/11846-Fading-Way-Von-Ormy-TX-78073/370653172_zpid/";"https://photos.zillowstatic.com/fp/5659d432ec384d3999cabe0d0e0e8ce0-zillow_web_48_23.jpg";"78073";"TX";"San Antonio";"11846 Fading Way"
"8306 HUDSON HOLLOW, San Antonio, TX 78254";355000;5;3;2544;"https://www.zillow.com/homedetails/8306-Hudson-Holw-San-Antonio-TX-78254/169366798_zpid/";"https://photos.zillowstatic.com/fp/5659d432ec384d3999cabe0d0e0e8ce0-zillow_web_48_23.jpg";"78254";"TX";"San Antonio";"8306 HUDSON HOLLOW"
"6973 Dorato Ridge, San Antonio, TX 78223";261999;4;2;1627;"https://www.zillow.com/homedetails/6973-Dorato-Rdg-San-Antonio-TX-78223/370655472_zpid/";"https://photos.zillowstatic.com/fp/5659d432ec384d3999cabe0d0e0e8ce0-zillow_web_48_23.jpg";"78223";"TX";"San Antonio";"6973 Dorato Ridge"
"9011 RYELLE, San Antonio, TX 78250";335000;3;2;1729;"https://www.zillow.com/homedetails/9011-Ryelle-San-Antonio-TX-78250/26465773_zpid/";"https://photos.zillowstatic.com/fp/5659d432ec384d3999cabe0d0e0e8ce0-zillow_web_48_23.jpg";"78250";"TX";"San Antonio";"9011 RYELLE"
"5710 TIMBER HVN, San Antonio, TX 78250";284000;4;3;2492;"https://www.zillow.com/homedetails/5710-Timber-Hvn-San-Antonio-TX-78250/65099226_zpid/";"https://photos.zillowstatic.com/fp/5659d432ec384d3999cabe0d0e0e8ce0-zillow_web_48_23.jpg";"78250";"TX";"San Antonio";"5710 TIMBER HVN"
"2307 BLUFFRIDGE ST, San Antonio, TX 78232";339000;4;2;1920;"https://www.zillow.com/homedetails/2307-Bluffridge-St-San-Antonio-TX-78232/26391859_zpid/";"https://photos.zillowstatic.com/fp/5659d432ec384d3999cabe0d0e0e8ce0-zillow_web_48_23.jpg";"78232";"TX";"San Antonio";"2307 BLUFFRIDGE ST"
"303 TANGLEWOOD, San Antonio, TX 78216";199000;3;2;1748;"https://www.zillow.com/homedetails/303-Tanglewood-San-Antonio-TX-78216/26295862_zpid/";"https://photos.zillowstatic.com/fp/5659d432ec384d3999cabe0d0e0e8ce0-zillow_web_48_23.jpg";"78216";"TX";"San Antonio";"303 TANGLEWOOD"
"11943 Sand Wedge Way, San Antonio, TX 78221";232900;3;2;1479;"https://www.zillow.com/homedetails/11943-Sand-Wedge-Way-San-Antonio-TX-78221/347340727_zpid/";"https://photos.zillowstatic.com/fp/5659d432ec384d3999cabe0d0e0e8ce0-zillow_web_48_23.jpg";"78221";"TX";"San Antonio";"11943 Sand Wedge Way"
"9610 Salers Springs, San Antonio, TX 78254";350000;4;3;2323;"https://www.zillow.com/homedetails/9610-Salers-Spgs-San-Antonio-TX-78254/2069128567_zpid/";"https://photos.zillowstatic.com/fp/5659d432ec384d3999cabe0d0e0e8ce0-zillow_web_48_23.jpg";"78254";"TX";"San Antonio";"9610 Salers Springs"
"710 LARKWOOD, San Antonio, TX 78209";349000;3;2;1418;"https://www.zillow.com/homedetails/710-Larkwood-Dr-San-Antonio-TX-78209/26308221_zpid/";"https://photos.zillowstatic.com/fp/5659d432ec384d3999cabe0d0e0e8ce0-zillow_web_48_23.jpg";"78209";"TX";"San Antonio";"710 LARKWOOD"
"402 Eskimo Street, San Antonio, TX 78225";264500;3;2;1456;"https://www.zillow.com/homedetails/402-Eskimo-St-San-Antonio-TX-78225/26210709_zpid/";"https://photos.zillowstatic.com/fp/5659d432ec384d3999cabe0d0e0e8ce0-zillow_web_48_23.jpg";"78225";"TX";"San Antonio";"402 Eskimo Street"
"8510 LITTLEPORT, San Antonio, TX 78239";299999;3;2;1879;"https://www.zillow.com/homedetails/8510-Littleport-San-Antonio-TX-78239/26178298_zpid/";"https://photos.zillowstatic.com/fp/5659d432ec384d3999cabe0d0e0e8ce0-zillow_web_48_23.jpg";"78239";"TX";"San Antonio";"8510 LITTLEPORT"
"5910 SANDY LAKE ST, San Antonio, TX 78222";265000;3;2;1389;"https://www.zillow.com/homedetails/5910-Sandy-Lake-St-San-Antonio-TX-78222/336773380_zpid/";"https://photos.zillowstatic.com/fp/5659d432ec384d3999cabe0d0e0e8ce0-zillow_web_48_23.jpg";"78222";"TX";"San Antonio";"5910 SANDY LAKE ST"
"5530 TOLEDO FARM, San Antonio, TX 78222";254000;3;2;1653;"https://www.zillow.com/homedetails/5530-Toledo-Farm-San-Antonio-TX-78222/250993941_zpid/";"https://photos.zillowstatic.com/fp/5659d432ec384d3999cabe0d0e0e8ce0-zillow_web_48_23.jpg";"78222";"TX";"San Antonio";"5530 TOLEDO FARM"
"11010 ANDOVER PEAK, San Antonio, TX 78254";245000;3;2;1444;"https://www.zillow.com/homedetails/11010-Andover-Peak-San-Antonio-TX-78254/65087025_zpid/";"https://photos.zillowstatic.com/fp/5659d432ec384d3999cabe0d0e0e8ce0-zillow_web_48_23.jpg";"78254";"TX";"San Antonio";"11010 ANDOVER PEAK"
"123 Turnberry Way, San Antonio, TX 78230";2999900;4;6;6060;"https://www.zillow.com/homedetails/123-Turnberry-Way-San-Antonio-TX-78230/69631684_zpid/";"https://photos.zillowstatic.com/fp/5659d432ec384d3999cabe0d0e0e8ce0-zillow_web_48_23.jpg";"78230";"TX";"San Antonio";"123 Turnberry Way"
"3723 SOUTHERN GROVE, San Antonio, TX 78222";215000;3;2;1330;"https://www.zillow.com/homedetails/3723-Southern-Grv-San-Antonio-TX-78222/69665989_zpid/";"https://photos.zillowstatic.com/fp/5659d432ec384d3999cabe0d0e0e8ce0-zillow_web_48_23.jpg";"78222";"TX";"San Antonio";"3723 SOUTHERN GROVE"
"1137 91ST ST, San Antonio, TX 78214";210000;5;2;1680;"https://www.zillow.com/homedetails/1137-91st-St-San-Antonio-TX-78214/26227751_zpid/";"https://photos.zillowstatic.com/fp/5659d432ec384d3999cabe0d0e0e8ce0-zillow_web_48_23.jpg";"78214";"TX";"San Antonio";"1137 91ST ST"
"6002 CARRIAGE CAPE, San Antonio, TX 78261";435000;4;3;1955;"https://www.zillow.com/homedetails/6002-Carriage-Cpe-San-Antonio-TX-78261/333540015_zpid/";"https://photos.zillowstatic.com/fp/5659d432ec384d3999cabe0d0e0e8ce0-zillow_web_48_23.jpg";"78261";"TX";"San Antonio";"6002 CARRIAGE CAPE"
"14130 Queensway, San Antonio, TX 78217";269000;3;2;1537;"https://www.zillow.com/homedetails/14130-Queensway-St-San-Antonio-TX-78217/26387167_zpid/";"https://photos.zillowstatic.com/fp/5659d432ec384d3999cabe0d0e0e8ce0-zillow_web_48_23.jpg";"78217";"TX";"San Antonio";"14130 Queensway"
"6839 WHISPER GRV, San Antonio, TX 78252";378995;5;4;2685;"https://www.zillow.com/homedetails/6839-Whisper-Grv-San-Antonio-TX-78252/2060641190_zpid/";"https://photos.zillowstatic.com/fp/5659d432ec384d3999cabe0d0e0e8ce0-zillow_web_48_23.jpg";"78252";"TX";"San Antonio";"6839 WHISPER GRV"
