Location,Price,BD,BA,sq. ft.,Link,Image,Property URL
"4507 TRAILWOOD DR, San Antonio, TX 78228","$315,000",3 bds,2 ba,"1,619 sqft",https://www.zillow.com/homedetails/4507-Trailwood-Dr-San-Antonio-TX-78228/26301014_zpid/,https://photos.zillowstatic.com/fp/5659d432ec384d3999cabe0d0e0e8ce0-zillow_web_48_23.jpg,https://www.zillow.com/homedetails/4507-Trailwood-Dr-San-Antonio-TX-78228/26301014_zpid/
"6714 COMANCHE ARROW, San Antonio, TX 78233","$439,900",4 bds,3 ba,"2,312 sqft",https://www.zillow.com/homedetails/6714-Comanche-Arrow-San-Antonio-TX-78233/333532973_zpid/,https://photos.zillowstatic.com/fp/5659d432ec384d3999cabe0d0e0e8ce0-zillow_web_48_23.jpg,https://www.zillow.com/homedetails/6714-Comanche-Arrow-San-Antonio-TX-78233/333532973_zpid/
"8403 maple ridge, San Antonio, TX 78239","$289,873",3 bds,3 ba,"1,496 sqft",https://www.zillow.com/homedetails/8403-Maple-Ridge-Dr-San-Antonio-TX-78239/26181122_zpid/,https://photos.zillowstatic.com/fp/5659d432ec384d3999cabe0d0e0e8ce0-zillow_web_48_23.jpg,https://www.zillow.com/homedetails/8403-Maple-Ridge-Dr-San-Antonio-TX-78239/26181122_zpid/
"13614 Rehm Dr, Helotes, TX 78023","$699,900",4 bds,4 ba,"3,445 sqft",https://www.zillow.com/homedetails/13614-Rehm-Dr-Helotes-TX-78023/58245974_zpid/,https://photos.zillowstatic.com/fp/5659d432ec384d3999cabe0d0e0e8ce0-zillow_web_48_23.jpg,https://www.zillow.com/homedetails/13614-Rehm-Dr-Helotes-TX-78023/58245974_zpid/
"130 IDELL AVE, San Antonio, TX 78223","$275,000",5 bds,2 ba,"1,560 sqft",https://www.zillow.com/homedetails/130-Idell-Ave-San-Antonio-TX-78223/26296882_zpid/,https://photos.zillowstatic.com/fp/5659d432ec384d3999cabe0d0e0e8ce0-zillow_web_48_23.jpg,https://www.zillow.com/homedetails/130-Idell-Ave-San-Antonio-TX-78223/26296882_zpid/
"10619 CEDAR ELM, San Antonio, TX 78230","$325,000",3 bds,2 ba,"2,346 sqft",https://www.zillow.com/homedetails/10619-Cedar-Elm-Dr-San-Antonio-TX-78230/26315308_zpid/,https://photos.zillowstatic.com/fp/5659d432ec384d3999cabe0d0e0e8ce0-zillow_web_48_23.jpg,https://www.zillow.com/homedetails/10619-Cedar-Elm-Dr-San-Antonio-TX-78230/26315308_zpid/
"11954 HOLM OAKS DR, San Antonio, TX 78249","$335,000",4 bds,2 ba,"2,160 sqft",https://www.zillow.com/homedetails/11954-Holm-Oaks-Dr-San-Antonio-TX-78249/26387089_zpid/,https://photos.zillowstatic.com/fp/5659d432ec384d3999cabe0d0e0e8ce0-zillow_web_48_23.jpg,https://www.zillow.com/homedetails/11954-Holm-Oaks-Dr-San-Antonio-TX-78249/26387089_zpid/
"5722 PALMETTO WAY, San Antonio, TX 78253","$365,000",4 bds,4 ba,"3,296 sqft",https://www.zillow.com/homedetails/5722-Palmetto-Way-San-Antonio-TX-78253/80022575_zpid/,https://photos.zillowstatic.com/fp/5659d432ec384d3999cabe0d0e0e8ce0-zillow_web_48_23.jpg,https://www.zillow.com/homedetails/5722-Palmetto-Way-San-Antonio-TX-78253/80022575_zpid/
"7719 ORLAND PARK, San Antonio, TX 78213","$275,000",4 bds,4 ba,"2,340 sqft",https://www.zillow.com/homedetails/7719-Orland-Park-San-Antonio-TX-78213/169142102_zpid/,https://photos.zillowstatic.com/fp/5659d432ec384d3999cabe0d0e0e8ce0-zillow_web_48_23.jpg,https://www.zillow.com/homedetails/7719-Orland-Park-San-Antonio-TX-78213/169142102_zpid/
"2818 TORTUGA VERDE, San Antonio, TX 78245","$550,000",4 bds,4 ba,"3,504 sqft",https://www.zillow.com/homedetails/2818-Tortuga-Verde-San-Antonio-TX-78245/102512520_zpid/,https://photos.zillowstatic.com/fp/5659d432ec384d3999cabe0d0e0e8ce0-zillow_web_48_23.jpg,https://www.zillow.com/homedetails/2818-Tortuga-Verde-San-Antonio-TX-78245/102512520_zpid/
